year,giin_id,kanji,kana,party,election_area
rl023,r00244,川合彰武,かわいあきたけ,日本社会党,静岡3区
rl023,r00290,河井栄蔵,かわいえいぞう,日本社会党,大阪1区
rl023,r00315,河合義一,かわいぎいち,日本社会党,兵庫3区
rl023,r00006,河口陽一,かわぐちよういち,日本農民党,北海道2区
rl023,r00454,川越博,かわごえひろし,国民協同党,宮崎2区
rl023,r00264,川崎秀二,かわさきひでじ,民主党,三重1区
rl023,r00107,川島金次,かわしまきんじ,日本社会党,埼玉1区
rl023,r00453,川野芳満,かわのよしみつ,国民協同党,宮崎1区
rl023,r00282,川橋豊治郎,かわはしとよじろう,日本自由党,京都1区
rl023,r00012,川村善八郎,かわむらぜんはちろう,日本自由党,北海道3区
rl023,r00232,神田博,かんだひろし,日本自由党,静岡1区
rl023,r00062,上林与市郎,かんばやしよいちろう,日本社会党,山形2区
rl023,r00458,上林山栄吉,かんばやしやまえいきち,日本自由党,鹿児島1区
rl023,r00145,菊川忠雄,きくかわただお,日本社会党,東京4区
rl023,r00086,菊池重作,きくちじゅうさく,日本社会党,茨城3区
rl023,r00084,菊池豊,きくちゆたか,民主党,茨城3区
rl023,r00139,菊池義郎,きくちよしろう,日本自由党,東京2区
rl023,r00014,北二郎,きたじろう,日本農民党,北海道4区
rl023,r00173,北昤吉,きたれいきち,日本自由党,新潟1区
rl023,r00325,北浦圭太郎,きたうらけいたろう,日本自由党,奈良全県区
rl023,r00303,喜多楢治郎,きたならじろう,民主党,大阪4区
rl023,r00430,北村徳太郎,きたむらとくたろう,民主党,長崎2区
rl023,r00216,吉川久衛,きっかわきゅうえ,国民協同党,長野3区
rl023,r00318,木下栄,きのしたさかえ,国民協同党,兵庫4区
rl023,r00225,木村公平,きむらこうへい,日本自由党,岐阜1区
rl023,r00340,木村小左衛門,きむらこざえもん,民主党,島根全県区
rl023,r00344,木村栄,きむらさかえ,日本共産党,島根全県区
rl023,r00183,清沢俊英,きよさわとしえい,日本社会党,新潟3区
rl023,r00028,工藤鉄男,くどうてつお,民主党,青森2区
rl023,r00429,久保猛夫,くぼたけお,民主党,長崎1区
rl023,r00302,久保田鶴松,くぼたつるまつ,日本社会党,大阪4区
rl023,r00209,倉石忠雄,くらいしただお,日本自由党,長野1区
rl023,r00096,栗田英男,くりたひでお,民主党,栃木2区
rl023,r00156,栗山長次郎,くりやまちょうじろう,日本自由党,東京7区
rl023,r00398,黒岩重治,くろいわしげはる,無所属,高知全県区
rl023,r00345,黒田寿男,くろだひさお,日本社会党,岡山1区
rl023,r00255,河野金昇,こうのきんしょう,国民協同党,愛知3区
rl023,r00347,小枝一雄,こえだかずお,国民協同党,岡山1区
rl023,r00414,古賀喜太郎,こがきたろう,民主党,福岡3区
rl023,r00167,小暮藤三郎,こぐれとうざぶろう,日本自由党,神奈川2区
rl023,r00210,小坂善太郎,こさかぜんたろう,民主党,長野1区
rl023,r00323,小島徹三,こじまてつぞう,民主党,兵庫5区
rl023,r00094,小平久雄,こだいらひさお,民主党,栃木2区
rl023,r00304,小西寅松,こにしとらまつ,無所属,大阪5区
rl023,r00214,小林運美,こばやしかずみ,民主党,長野2区
rl023,r00238,小松勇次,こまつゆうじ,民主党,静岡2区
rl023,r00104,小峯柳多,こみねりゅうた,日本自由党,群馬3区
rl023,r00352,近藤鶴代,こんどうつるよ,日本自由党,岡山2区
rl023,r00061,金野定吉,こんのさだきち,日本社会党,山形2区
rl023,r00199,五坪茂雄,ごつぼしげお,民主党,石川2区
rl023,r00314,後藤悦治,ごとうえいじ,民主党,兵庫2区
rl023,r00073,斎藤晃,さいとうあきら,立憲養正会,福島3区
rl023,r00322,斎藤隆夫,さいとうたかお,民主党,兵庫5区
rl023,r00188,佐伯宗義,さえきむねよし,民主党,富山1区
rl023,r00004,境一雄,さかいかずお,日本社会党,北海道1区
rl023,r00260,酒井俊雄,さかいとしお,国民協同党,愛知4区
rl023,r00066,榊原千代,さかきばらちよ,日本社会党,福島1区
rl023,r00349,榊原亨,さかきばらとおる,日本自由党,岡山1区
rl023,r00436,坂口主税,さかぐちちから,民主党,熊本1区
rl023,r00442,坂田道太,さかたみちた,日本自由党,熊本2区
rl023,r00368,坂本実,さかもとみのる,日本自由党,山口1区
rl023,r00134,桜内義雄,さくらうちよしお,民主党,東京1区
rl023,r00041,佐々木更三,ささきこうぞう,日本社会党,宮城1区
rl023,r00008,佐々木秀世,ささきひでよ,民主党,北海道2区
rl023,r00324,佐々木盛雄,ささきもりお,日本自由党,兵庫5区
rl023,r00165,笹口晃,ささぐちあきら,日本社会党,神奈川2区
rl023,r00027,笹森順造,ささもりじゅんぞう,国民協同党,青森2区
rl023,r00118,佐瀬昌三,させしょうぞう,日本自由党,埼玉4区
rl023,r00357,佐竹新市,さたけしんいち,日本社会党,広島1区
rl023,r00399,佐竹晴記,さたけはるき,日本社会党,高知全県区
rl023,r00256,佐藤観次郎,さとうかんじろう,日本社会党,愛知3区
rl023,r00466,佐藤通吉,さとうつうきち,民主党,鹿児島3区
rl023,r00002,椎熊三郎,しいくまさぶろう,民主党,北海道1区
rl023,r00035,志賀健次郎,しがけんじろう,民主党,岩手2区
rl023,r00353,重井鹿治,しげいしかじ,日本社会党,岡山2区
rl023,r00371,重富卓,しげとみたく,協同農民党,山口2区
rl023,r00296,幣原喜重郎,しではらきじゅうろう,民主党,大阪3区
rl023,r00123,渋谷雄太郎,しぶやゆうたろう,日本自由党,千葉1区
rl023,r00152,島上善五郎,しまがみぜんごろう,日本社会党,東京6区
rl023,r00049,島田晋作,しまだしんさく,日本社会党,秋田1区
rl023,r00150,島村一郎,しまむらいちろう,日本自由党,東京6区
rl023,r00370,庄忠人,しょうただと,民主党,山口1区
rl023,r00038,庄司一郎,しょうじいちろう,日本自由党,宮城1区
rl023,r00337,庄司彦男,しょうじひこお,日本社会党,鳥取全県区
rl023,r00166,白井佐吉,しろいさきち,日本自由党,神奈川2区
rl023,r00082,鈴木明良,すずきあきら,民主党,茨城3区
rl023,r00099,鈴木強平,すずききょうへい,民主党,群馬1区
rl023,r00242,鈴木里一郎,すずきさといちろう,日本自由党,静岡3区
rl023,r00033,鈴木善幸,すずきぜんこう,日本社会党,岩手1区
rl023,r00147,鈴木仙八,すずきせんぱち,日本自由党,東京5区
rl023,r00207,鈴木正文,すずきまさふみ,日本自由党,山梨全県区
rl023,r00140,鈴木茂三郎,すずきもさぶろう,日本社会党,東京3区
rl023,r00052,鈴木弥五郎,すずきやごろう,民主党,秋田2区
rl023,r00169,鈴木雄二,すずきゆうじ,日本社会党,神奈川3区
rl023,r00068,鈴木義男,すずきよしお,日本社会党,福島2区
rl023,r00369,周東英雄,すとうひでお,日本自由党,山口1区
rl023,r00424,角田藤三郎,すみだとうざぶろう,日本社会党,佐賀全県区
rl023,r00059,図司安正,ずしやすまさ,民主党,山形2区
rl023,r00072,関内正一,せきうちしょういち,日本自由党,福島3区
rl023,r00115,関根久蔵,せきねきゅうぞう,民主党,埼玉3区
rl023,r00334,世耕弘一,せこうこういち,日本自由党,和歌山2区
rl023,r00259,千賀康治,せんがこうじ,民主党,愛知4区
rl023,r00087,相馬助治,そうますけじ,無所属,栃木1区
rl023,r00440,園田直,そのだすなお,民主党,熊本2区
rl023,r00354,多賀安郎,たがやすろう,国民協同党,岡山2区
rl023,r00176,高岡忠弘,たかおかただひろ,民主党,新潟2区
rl023,r00019,高倉定助,たかくらさだすけ,日本農民党,北海道5区
rl023,r00091,高瀬伝,たかせでん,日本社会党,栃木1区
rl023,r00036,高田弥市,たかだやいち,日本自由党,岩手2区
rl023,r00365,高津正道,たかつまさみち,日本社会党,広島3区
rl023,r00394,高橋英吉,たかはしえいきち,日本自由党,愛媛3区
rl023,r00472,高橋清治郎,たかはしせいじろう,民主党,宮城2区　※補選
rl023,r00162,高橋長治,たかはしちょうじ,民主党,神奈川1区
rl023,r00469,高橋禎一,たかはしていいち,民主党,広島3区　※補選
rl023,r00146,田川大吉郎,たがわだいきちろう,日本社会党,東京5区
rl023,r00110,田口助太郎,たぐちすけたろう,日本自由党,埼玉1区
rl023,r00279,竹内克巳,たけうちかつみ,日本社会党,京都1区
rl023,r00127,竹尾弌,たけおはじめ,日本自由党,千葉2区
rl023,r00195,竹田儀一,たけだぎいち,無所属,石川1区
rl023,r00360,武田キヨ,たけだきよ,日本自由党,広島2区
rl023,r00040,竹谷源太郎,たけやげんたろう,日本社会党,宮城1区
rl023,r00241,竹山祐太郎,たけやまゆうたろう,国民協同党,静岡3区
rl023,r00109,田島房邦,たじまふさくに,民主党,埼玉1区
rl023,r00122,多田勇,ただいさむ,日本自由党,千葉1区
rl023,r00042,只野直三郎,ただのなおさぶろう,日本人民党,宮城1区
rl023,r00192,橘直治,たちばななおじ,民主党,富山2区
rl023,r00330,田中織之進,たなかおりのしん,日本社会党,和歌山1区
rl023,r00182,田中角栄,たなかかくえい,民主党,新潟3区
rl023,r00051,田中健吉,たなかけんきち,日本社会党,秋田2区
rl023,r00317,田中源三郎,たなかげんざぶろう,民主党,兵庫3区
rl023,r00401,田中松月,たなかしょうげつ,日本社会党,福岡1区
rl023,r00415,田中稔男,たなかとしお,日本社会党,福岡3区
rl023,r00266,田中久雄,たなかひさお,新日本建設同盟,三重1区
rl023,r00252,田中斉,たなかひとし,日本社会党,愛知2区
rl023,r00300,田中万逸,たなかまんいつ,民主党,大阪4区
rl023,r00130,田中豊,たなかゆたか,民主党,千葉3区
rl023,r00358,谷川昇,たにがわのぼる,日本自由党,広島2区
rl023,r00366,田淵実夫,たぶちじつお,日本社会党,広島3区
rl023,r00179,玉井祐吉,たまいゆうきち,日本社会党,新潟2区
rl023,r00373,田村虎一,たむらとらいち,日本自由党,山口2区
rl023,r00011,館俊三,だてしゅんぞう,日本社会党,北海道3区
rl023,r00186,塚田十一郎,つかだじゅういちろう,日本自由党,新潟4区
rl023,r00308,佃良一,つくだりょういち,民主党,兵庫1区
rl023,r00248,辻寛一,つじかんいち,日本自由党,愛知1区
rl023,r00281,辻井民之助,つじいたみのすけ,日本社会党,京都1区
rl023,r00431,綱島正興,つなしませいこう,農漁民協同党,長崎2区
rl023,r00243,坪井亀蔵,つぼいかめぞう,国民協同党,静岡3区
rl023,r00473,坪内八郎,つぼうちはちろう,民主自由党,長崎1区　※補選
rl023,r00201,坪川信三,つぼかわしんぞう,民主党,福井全県区
rl023,r00071,円谷光衛,つむらやみつえ,日本自由党,福島2区
rl023,r00413,寺崎覚,てらさきさとる,農村連盟,福岡3区
