year,giin_id,kanji,kana,party,election_area
rl023,r00108,松永義雄,まつながよしお,日本社会党,埼玉1区
rl023,r00434,松野頼三,まつのらいぞう,日本自由党,熊本1区
rl023,r00449,松原一彦,まつばらかずひこ,国民協同党,大分2区
rl023,r00298,松原喜之次,まつばらきのじ,日本社会党,大阪3区
rl023,r00268,松本一郎,まつもといちろう,民主党,三重1区
rl023,r00409,松本七郎,まつもとしちろう,日本社会党,福岡2区
rl023,r00342,松本淳造,まつもとじゅんぞう,日本社会党,島根全県区
rl023,r00333,松本真一,まつもとしんいち,日本社会党,和歌山2区
rl023,r00355,松本滝蔵,まつもとたきぞう,国民協同党,広島1区
rl023,r00465,的場金右衛門,まとばきんうえもん,国民協同党,鹿児島3区
rl023,r00080,万田五郎,まんだごろう,日本社会党,茨城2区
rl023,r00163,三浦寅之助,みうらとらのすけ,日本自由党,神奈川1区
rl023,r00376,三木武夫,みきたけお,国民協同党,徳島全県区
rl023,r00128,水田三喜男,みずたみきお,日本自由党,千葉3区
rl023,r00278,水谷長三郎,みずたにちょうざぶろう,日本社会党,京都1区
rl023,r00265,水谷昇,みずたにのぼる,日本自由党,三重1区
rl023,r00253,水野実郎,みずのじつろう,日本社会党,愛知2区
rl023,r00383,溝淵松太郎,みぞふちまつたろう,日本社会党,香川1区
rl023,r00237,宮幡靖,みやはたやすし,日本自由党,静岡2区
rl023,r00437,宮村又八,みやむらまたはち,日本社会党,熊本1区
rl023,r00395,明礼輝三郎,みょうれいてるさぶろう,日本自由党,愛媛3区
rl023,r00015,三好竹勇,みよしちくゆう,民主党,北海道4区
rl023,r00105,武藤運十郎,むとううんじゅうろう,日本社会党,群馬3区
rl023,r00224,武藤嘉一,むとうかいち,民主党,岐阜1区
rl023,r00460,村尾薩男,むらおさつお,日本社会党,鹿児島1区
rl023,r00445,村上勇,むらかみいさむ,日本自由党,大分1区
rl023,r00054,村上清治,むらかみせいじ,日本自由党,秋田2区
rl023,r00391,村瀬宣親,むらせのぶちか,民主党,愛媛2区
rl023,r00106,最上英子,もがみひでこ,民主党,群馬3区
rl023,r00161,門司亮,もじりょう,日本社会党,神奈川1区
rl023,r00273,森幸太郎,もりこうたろう,日本自由党,滋賀全県区
rl023,r00421,森直次,もりなおじ,日本自由党,佐賀全県区
rl023,r00018,森三樹二,もりみきじ,日本社会党,北海道5区
rl023,r00374,守田道輔,もりたみちすけ,日本社会党,山口2区
rl023,r00362,森戸辰男,もりとたつお,日本社会党,広島3区
rl023,r00456,森山武彦,もりやまたけひこ,日本社会党,宮崎2区
rl023,r00112,師岡栄一,もろおかえいいち,日本社会党,埼玉2区
rl023,r00275,矢尾喜三郎,やおきさぶろう,日本社会党,滋賀全県区
rl023,r00063,八百板正,やおいたただし,日本社会党,福島1区
rl023,r00262,八木一郎,やぎいちろう,民主党,愛知5区
rl023,r00083,谷口武雄,やぐちたけお,国民協同党,茨城3区
rl023,r00190,矢後嘉蔵,やごかぞう,日本社会党,富山1区
rl023,r00448,安田幹太,やすだみきた,日本社会党,大分2区
rl023,r00389,安平鹿一,やすひらしかいち,日本社会党,愛媛1区
rl023,r00159,八並達雄,やつなみたつお,民主党,東京7区
rl023,r00423,梁井淳二,やないじゅんじ,日本自由党,佐賀全県区
rl023,r00386,矢野庄太郎,やのしょうたろう,民主党,香川2区
rl023,r00088,矢野政男,やのまさお,民主党,栃木1区
rl023,r00331,山口喜久一郎,やまぐちきくいちろう,日本自由党,和歌山1区
rl023,r00092,山口好一,やまぐちこういち,日本自由党,栃木2区
rl023,r00153,山口シヅエ,やまぐちしづえ,日本社会党,東京6区
rl023,r00077,山口武秀,やまぐちたけひで,日本農民組合,茨城1区
